Item_Root	-	0.000000 0.000000 -0.000000	0.707107 -0.000000 0.000000 0.707107	1.000000 1.000000 1.000000	-	0	-
Icon	-	-0.000000 0.001000 -1.000000	0.707107 0.707107 0.000000 0.000000	1.000000 1.000000 1.000000	Item_Root	0	-
Model_1	stew_mushroom_model_1.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0	stew_mushroom_albedo.png
Bone_0	-	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0	-
Model_0	stew_mushroom_model_0.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Bone_0	1	stew_mushroom_albedo.png
Bone_1	stew_mushroom_bone_1.txt	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1	stew_mushroom_albedo.png
Effect	-	0.000000 0.000000 -0.010000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Bone_1	0	-
Bone_2	stew_mushroom_bone_2.txt	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1	stew_mushroom_albedo.png
Bone_3	stew_mushroom_bone_3.txt	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1	stew_mushroom_albedo.png
Bone_4	stew_mushroom_bone_4.txt	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1	stew_mushroom_albedo.png
Bone_5	stew_mushroom_bone_5.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1	stew_mushroom_albedo.png
Bone_6	stew_mushroom_bone_6.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Bone_5	1	stew_mushroom_albedo.png
