Bone_0	salmon_meuniere2_bone_0.txt	-0.099905 -0.048150 0.032434	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_1	salmon_meuniere2_bone_1.txt	-0.086168 0.020630 0.032434	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_2	salmon_meuniere2_bone_2.txt	-0.070484 0.099484 0.032434	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_3	salmon_meuniere2_bone_3.txt	0.121607 -0.054385 0.055520	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_4	salmon_meuniere2_bone_4.txt	0.057969 -0.169399 0.067198	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_5	salmon_meuniere2_bone_5.txt	0.135439 0.171328 0.028644	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_6	salmon_meuniere2_bone_6.txt	0.134065 0.041115 0.042519	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Bone_7	salmon_meuniere2_bone_7.txt	0.000000 0.000000 0.100000	-0.000000 -0.000000 0.000000 1.000000	0.001000 0.001000 0.001000
Model_0	salmon_meuniere2_model_0.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
Model_1	salmon_meuniere2_model_1.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000
