Item_Root	-	0.000000 0.000000 -0.000000	0.707107 -0.000000 0.000000 0.707107	1.000000 1.000000 1.000000	-	0
Icon	-	0.000000 0.000000 -0.257686	-0.000000 1.000000 0.000000 0.000000	1.000000 1.000000 1.000000	Item_Root	0
Model_1	pie_indigo_model_1.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Model_2	pie_indigo_model_2.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Bone_0	pie_indigo_bone_0.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_1	pie_indigo_bone_1.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_2	pie_indigo_bone_2.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_3	pie_indigo_bone_3.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_4	pie_indigo_bone_4.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_5	pie_indigo_bone_5.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1
