c4	TE_0	TU_0	1.633
flare_blue	TE_0	TU_0	1.633
flare_green	TE_0	TU_0	1.633
flare_orange	TE_0	TU_0	1.633
flare_purple	TE_0	TU_0	1.633
flare_red	TE_0	TU_0	1.633
flare_yellow	TE_0	TU_0	1.633
flashbang	TE_0	TU_0	1.633
grenade	TE_0	TU_0	1.633
grenade_bounce	TE_0	TU_0	1.633
grenade_makeshift	TE_0	TU_0	1.633
impact_grenade	TE_0	TU_0	1.633
smoke_black	TE_0	TU_0	1.633
smoke_blue	TE_0	TU_0	1.633
smoke_green	TE_0	TU_0	1.633
smoke_orange	TE_0	TU_0	1.633
smoke_purple	TE_0	TU_0	1.633
smoke_red	TE_0	TU_0	1.633
smoke_white	TE_0	TU_0	1.633
smoke_yellow	TE_0	TU_0	1.633
snowball	TE_0	TU_0	1.633
