Item_Root	-	0.000000 0.000000 -0.000000	0.707107 -0.000000 0.000000 0.707107	1.000000 1.000000 1.000000	-	0
Icon	-	-0.000000 0.001000 -1.000000	0.707107 0.707107 0.000000 0.000000	1.000000 1.000000 1.000000	Item_Root	0
Model_1	stew_seaweed_model_1.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Bone_0	-	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Model_0	stew_seaweed_model_0.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Bone_0	1
Bone_1	stew_seaweed_bone_1.txt	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	1
Effect	-	0.000000 0.000000 -0.010000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Bone_1	0
Bone_2	-	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Bone_3	-	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Bone_4	-	0.000000 0.000000 -0.158000	-0.000000 -0.000000 0.000000 1.000000	1.000000 1.000000 1.000000	Item_Root	0
Bone_5	stew_seaweed_bone_5.txt	0.000000 0.000000 -0.000000	-0.000000 -0.000000 0.000000 1.000000	0.001000 0.001000 0.001000	Item_Root	1
Bone_6	stew_seaweed_bone_6.txt	0.000000 0.000000 -0.000000	0.000000 0.000000 -0.000000 1.000000	1.000000 1.000000 1.000000	Bone_5	1
